Component,contributor,dataset_id,dataset_name,dataset_type,upload_date,num_items,dataset_size,scheduled_release_date,release_date,status,released_destinations,released,metadata_check,governance_compliance
DataFlow,Demo 1,syn120,biospecimen,Biospecimen,2023-10-25,30,5,2024-03-20,Not applicable,scheduled for release,data portal,FALSE,FALSE,FALSE
DataFlow,Demo 1,syn123,patient,Patient,2023-10-25,10,1,2024-03-20,Not applicable,scheduled for release,data portal,FALSE,FALSE,FALSE
DataFlow,Demo 1,syn125,demo_data,Demographic,2023-10-25,10,1,2024-03-20,Not applicable,scheduled for release,data portal,FALSE,FALSE,FALSE
DataFlow,Demo 1,syn128,biospecimen_2,Biospecimen,2023-10-25,10,1,2024-03-20,Not applicable,scheduled for release,data portal,FALSE,FALSE,FALSE
DataFlow,Demo 1,syn122,other_assay,Other Assay,2023-10-25,20,1.5,2024-03-20,Not applicable,scheduled for release,data portal,FALSE,FALSE,FALSE
DataFlow,Demo 2,syn234,patient,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not uploaded,Not applicable,FALSE,FALSE,FALSE
DataFlow,Demo 2,syn203,biospecimen,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not uploaded,Not applicable,FALSE,FALSE,FALSE
DataFlow,Demo 2,syn222,other_assay,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not uploaded,Not applicable,FALSE,FALSE,FALSE
DataFlow,Demo 3,syn300,biospecimen,Biospecimen,2022-08-01,50,10,2022-09-01,2022-09-02,released,dbGaP,TRUE,TRUE,TRUE
DataFlow,Demo 3,syn302,patient,Patient,2022-08-01,25,5,2022-09-01,2022-09-02,released,dbGaP,TRUE,TRUE,TRUE
DataFlow,Demo 3,syn345,demo_data,Demographic,2022-08-01,25,5,2022-09-01,2022-09-02,released,dbGaP,TRUE,TRUE,TRUE
DataFlow,Demo 3,syn340,biospecimen_2,Biospecimen,2022-08-07,3,1,2022-09-01,2022-09-02,released,dbGaP,TRUE,TRUE,TRUE
DataFlow,Demo 3,syn355,other_assay,Other Assay,2022-08-08,75,15,2022-09-01,2022-09-02,released,dbGaP,TRUE,TRUE,TRUE
DataFlow,Demo 3,syn321,patient,Patient,2022-08-09,5,2,2022-09-01,2022-09-02,released,dbGaP,TRUE,TRUE,TRUE
