"","Component","contributor","dataset_id","dataset_name","dataset_type","num_items","released","release_date","upload_date","dataset_size","scheduled_release_date","released_destinations","status","governance_compliance","metadata_check"
"1","DataFlow","INCLUDE Data Management Core","syn30109400","INCLUDE Data Curator App","","","FALSE","","","","","","","FALSE","FALSE"
"2","DataFlow","INCLUDE Data Management Core","syn51060573","INCLUDE Data Flow App","","","FALSE","","","","","","","FALSE","FALSE"
"3","DataFlow","INCLUDE DSC","syn30097525","Original Data and Dictionaries","","","FALSE","","","","","","","FALSE","FALSE"
"4","DataFlow","INCLUDE DSC","syn51198971","2023-03_Study","","","FALSE","","","","","","","FALSE","FALSE"
"5","DataFlow","INCLUDE DSC","syn51198972","2023-03_Participant","","","FALSE","","","","","","","FALSE","FALSE"
"6","DataFlow","INCLUDE DSC","syn51198973","2023-03_Condition","","","FALSE","","","","","","","FALSE","FALSE"
"7","DataFlow","INCLUDE DSC","syn51198974","2023-03_Biospecimen","","","FALSE","","","","","","","FALSE","FALSE"
"8","DataFlow","INCLUDE DSC","syn51198975","2023-03_DataFile","","","FALSE","","","","","","","FALSE","FALSE"
"9","DataFlow","INCLUDE HTP","syn25909695","GEO_test","","","FALSE","","","","","","","FALSE","FALSE"
"10","DataFlow","INCLUDE HTP","syn30097748","Original Data and Dictionaries","","","FALSE","","","","","","","FALSE","FALSE"
"11","DataFlow","INCLUDE X01 Hakonarson","syn26164916","Original Data and Dictionaries","","","FALSE","","","","","","","FALSE","FALSE"
"12","DataFlow","INCLUDE X01 Hakonarson","syn52660165","datafile manifests","","","FALSE","","","","","","","FALSE","FALSE"
"13","DataFlow","INCLUDE X01 de Smith","syn26164918","Original Data and Dictionaries","","","FALSE","","","","","","","FALSE","FALSE"
"14","DataFlow","INCLUDE X01 de Smith","syn51198976","2023-03_Study","","","FALSE","","","","","","","FALSE","FALSE"
"15","DataFlow","INCLUDE X01 de Smith","syn51198977","2023-03_Participant","","","FALSE","","","","","","","FALSE","FALSE"
"16","DataFlow","INCLUDE X01 de Smith","syn51198978","2023-03_Condition","","","FALSE","","","","","","","FALSE","FALSE"
"17","DataFlow","INCLUDE X01 de Smith","syn51198979","2023-03_Biospecimen","","","FALSE","","","","","","","FALSE","FALSE"
"18","DataFlow","INCLUDE X01 de Smith","syn51198980","2023-03_DataFile","","","FALSE","","","","","","","FALSE","FALSE"
"19","DataFlow","INCLUDE - TEST - All Projects","syn30039672","INCLUDE Data Curator App","","","FALSE","","","","","","","FALSE","FALSE"
